,Max,Min,Mean,Var,Gender,label
0,149,131,141.22,13.22383838383838,0,0
1,213,146,170.89,280.19989898989905,0,0
2,236,156,185.72,281.4157575757576,0,0
3,256,134,181.64,900.1317171717171,0,0
4,209,141,169.24,291.65898989898994,0,0
5,260,146,194.26,536.6791919191919,0,0
6,234,135,165.83,423.1930303030303,0,0
7,210,140,163.36,267.5054545454546,0,0
8,244,133,166.96,687.230707070707,0,0
9,203,144,165.18,254.73494949494955,0,0
10,193,129,161.03,228.09,0,0
11,202,138,157.63,204.47787878787875,0,0
12,221,144,169.09,442.42616161616166,0,0
13,213,142,168.91,328.1231313131313,0,0
14,177,134,150.16,118.60040404040404,0,0
15,217,138,164.08,494.7410101010102,0,0
16,217,141,167.14,338.58626262626257,0,0
17,172,104,132.14,369.57616161616164,0,0
18,186,101,135.62,507.4905050505051,0,0
19,175,110,133.46,299.7256565656566,0,0
20,179,105,134.24,293.29535353535357,0,0
21,203,106,138.41,655.6988888888889,0,0
22,188,116,141.65,212.83585858585857,0,0
23,217,113,150.03,768.8980808080809,0,0
24,146,103,118.15,88.93686868686869,0,0
25,206,107,140.68,794.6642424242425,0,0
26,171,108,132.74,210.5377777777778,0,0
27,176,115,133.84,223.04484848484847,0,0
28,162,107,126.74,169.79030303030305,0,0
29,183,103,129.13,298.0536363636364,0,0
30,155,110,126.05,109.38131313131314,0,0
31,175,107,129.0,261.45454545454544,0,0
32,168,111,130.35,163.03787878787878,0,0
33,151,107,123.36,95.76808080808081,0,0
34,167,104,127.07,202.7122222222222,0,0
35,150,107,125.62,93.59151515151514,0,0
36,165,105,129.69,127.93323232323233,0,0
37,153,108,124.23,108.38090909090909,0,0
38,156,108,125.3,150.65656565656565,0,0
39,147,106,122.33,120.54656565656566,0,0
40,172,115,132.97,202.61525252525252,0,0
41,141,110,122.16,31.408484848484843,0,0
42,145,109,125.02,54.48444444444444,0,0
43,188,105,134.94,356.92565656565654,0,0
44,155,115,132.61,96.84636363636365,0,0
45,148,114,128.46,67.60444444444447,0,0
46,196,111,133.52,418.4137373737374,0,0
47,145,101,122.19,98.76151515151517,0,0
48,179,107,128.94,261.2286868686869,0,0
49,154,108,123.83,123.17282828282829,0,0
50,165,138,149.67,59.27383838383838,0,1
51,357,154,214.98,2758.9692929292924,0,1
52,233,148,181.25,329.34090909090907,0,1
53,286,158,195.15,1127.5025252525252,0,1
54,201,156,179.48,111.32282828282831,0,1
55,304,147,214.14,1041.9195959595959,0,1
56,267,147,190.53,513.7869696969697,0,1
57,250,148,179.79,695.3796969696971,0,1
58,209,141,173.65,233.28030303030306,0,1
59,226,150,173.87,385.93242424242413,0,1
60,215,146,172.66,154.40848484848485,0,1
61,225,135,177.78,527.4662626262626,0,1
62,234,150,173.54,361.2206060606061,0,1
63,187,147,171.95,78.45202020202021,0,1
64,234,145,175.55,381.60353535353534,0,1
65,214,148,170.73,212.5829292929293,0,1
66,204,143,172.31,144.74131313131312,0,1
67,208,144,166.33,194.3849494949495,0,1
68,212,153,170.33,129.6778787878788,0,1
69,242,154,187.0,523.3939393939394,0,1
70,264,155,180.6,575.9191919191919,0,1
71,210,137,168.08,245.00363636363633,0,1
72,214,141,165.1,239.50505050505046,0,1
73,219,144,173.71,409.0362626262626,0,1
74,225,153,183.37,379.3465656565657,0,1
75,247,152,180.1,434.1515151515151,0,1
76,216,157,174.71,195.13727272727277,0,1
77,212,154,174.92,194.90262626262626,0,1
78,200,155,177.4,117.13131313131314,0,1
79,232,146,180.62,368.9652525252526,0,1
80,210,162,184.8,120.32323232323232,0,1
81,206,156,179.59,113.23424242424245,0,1
82,199,133,164.94,172.0569696969697,0,1
83,207,135,151.37,292.9627272727273,0,1
